Китаев Ефрем Эдуардович:18ПИ-1
Сонин Мартын Проклович:18ПИ-1
Прилуцкий Потап Федотович:18ПМИ-1
Францев Лука Кондратиевич:18ПМИ-2
Шелагин Владислав Михаилович:18ПМИ-2
Харламов Ипполит Андронович:18ПИ-2
Ромазан Арсений Платонович:18ПИ-2
Подчасов Мстислав Артемович:18ПИ-2
Мосяков Кондратий Ипатович:18ПМИ-1
Ревягин Харитон Эмилевич:18ПМИ-1
Котяш Павел Сократович:18ПМИ-1
Уксюзов Владилен Якубович:18ПИ-2
Головаха Елисей Евлампиевич:18ПИ-2
Минин Афанасий Пахомович:18ПМИ-1
Русинов Ираклий Трофимович:18ПИ-2
Свистовский Никита Натанович:18ПМИ-1
Габулов Мирослав Климентович:18ПИ-1
Пчельников Прокофий Всеволодович:18ПМИ-2
Степнов Григорий Владиславович:18ПМИ-2
Карюгин Агафон Геннадиевич:18ПМИ-2
Бялик Капитон Алексеевич:18ПИ-1
Кувшинов Андрей Прокофиевич:18ПМИ-2
Штыков Измаил Гаврилевич:18ПИ-2
Лагошин Захар Артемиевич:18ПМИ-1
Ягудин Олег Егорович:18ПМИ-1
Хоботилов Онисим Георгиевич:18ПИ-2
Баранов Сидор Родионович:18ПМИ-1
Умский Святослав Даниилович:18ПИ-1
Царёв Иосиф Евстафиевич:18ПМИ-1
Булгаков Михей Несторович:18ПМИ-2
Букирь Юрий Изяславович:18ПМИ-1
Родионов Иван Викентиевич:18ПМИ-2
Низовцев Феликс Назарович:18ПМИ-2
Поляков Дмитрий Иванович:18ПМИ-1
Козин Платон Афанасиевич:18ПМИ-1
Кокорев Максим Епифанович:18ПИ-1
Якушов Кир Иосифович:18ПИ-1
Мазурин Тихон Евгениевич:18ПИ-1
Бухало Федор Архипович:18ПМИ-1
Каприянов Осип Вадимович:18ПИ-2
Закрятин Матвей Самсонович:18ПМИ-1
Смелоч Порфирий Михеевич:18ПИ-2
Соломин Рюрик Иннокентиевич:18ПИ-2
Аронов Макар Демьянович:18ПМИ-1
Хренов Вацлав Модестович:18ПМИ-2
Канунников Моисей Захарович:18ПИ-2
Пугачёв Василий Дмитриевич:18ПМИ-2
Крутелев Наум Адрианович:18ПИ-1
Кучава Эммануил Зиновиевич:18ПМИ-1
Данькин Никифор Сергеевич:18ПИ-2
Карева Любава Евремовна:18ПИ-2
Елагина Антонина Порфириевна:18ПИ-2
Зиновьева Светлана Афанасиевна:18ПИ-1
Комзина Инга Евсеевна:18ПИ-1
Забродина Ольга Михаиловна:18ПИ-2
Гаголина Евдокия Клавдиевна:18ПМИ-2
Теребова Изабелла Емельяновна:18ПМИ-2
Якова Валентина Карповна:18ПИ-1
Домашева Майя Вадимовна:18ПИ-1
Медведева Валерия Ивановна:18ПМИ-2
Дежнёва Полина Максимильяновна:18ПИ-1
Магазинер Юлия Агафоновна:18ПИ-2
Меншикова Эльвира Валерьевна:18ПИ-1
Ясевич Клара Харитоновна:18ПИ-2
Лебединская Елена Прокофьевна:18ПМИ-2
Карявина Инесса Александровна:18ПИ-2
Бондарева Лада Ульяновна:18ПИ-2
Пустоходова Алла Варфоломеевна:18ПИ-2
Шатохина Кира Поликарповна:18ПИ-2
Стрельцова Розалия Кузьмевна:18ПИ-1
Полыгалова Бронислава Мирославовна:18ПМИ-1
Абрамович Ульяна Бориславовна:18ПИ-1
Яцышина Раиса Георгиевна:18ПИ-2
Пушменкова Виктория Никифоровна:18ПМИ-1
Поджио Римма Михеевна:18ПИ-1
Бармыкина Лариса Анатолиевна:18ПИ-2
Рождественская Ариадна Никоновна:18ПМИ-2
Цедлица Ефросинья Марковна:18ПМИ-2
Бикеева Марта Игнатиевна:18ПМИ-2
Кудашева Ксения Владиславовна:18ПИ-2
Ямилова Агафья Федотовна:18ПИ-2
Юнкина Мария Ростиславовна:18ПМИ-2
Боркова Жанна Денисовна:18ПМИ-1
Молодыха Нина Валентиновна:18ПИ-2
Есаулова Екатерина Станиславовна:18ПИ-2
Глушакова Рада Лукьяновна:18ПМИ-1
Рюмова Мирослава Глебовна:18ПИ-1
Мишина Василиса Владиленовна:18ПМИ-1
Жидкова Доминика Агаповна:18ПИ-2
Десяткова Оксана Карловна:18ПИ-2
Тычинина Аза Казимировна:18ПМИ-1
Алленова Изольда Иннокентиевна:18ПИ-2
Милорадова Лиана Сигизмундовна:18ПИ-2
Лачкова Ева Вацлавовна:18ПМИ-1
Воропаева Инна Серафимовна:18ПМИ-2
Куксюк Всеслава Павловна:18ПИ-1
Ядучева Алиса Капитоновна:18ПМИ-1
Благово Агния Рюриковна:18ПИ-1
Жикина Диана Лаврентиевна:18ПИ-2
Яцкевича Надежда Арсентиевна:18ПИ-1
